twa/tws;4;6;8;10;12;14;16;20;24
30;0.49;0.66;0.78;0.86;0.9;0.93;0.94;0.95;0.95
40;2.11;2.85;3.38;3.72;3.91;4.01;4.06;4.11;4.13
50;3.74;5.04;5.98;6.58;6.91;7.09;7.19;7.28;7.3
60;4.32;5.77;6.76;7.35;7.69;7.89;8.02;8.14;8.2
70;4.47;5.93;6.91;7.47;7.8;8.03;8.22;8.41;8.51
80;4.47;5.94;6.92;7.51;7.87;8.12;8.31;8.62;8.81
90;4.37;5.84;6.86;7.53;7.93;8.19;8.37;8.79;9.09
100;4.24;5.76;6.87;7.57;7.99;8.31;8.56;9.04;9.32
110;4.09;5.66;6.87;7.59;8.03;8.38;8.71;9.26;9.59
120;3.91;5.43;6.64;7.45;7.93;8.3;8.66;9.37;10.14
130;3.58;5.03;6.24;7.15;7.73;8.14;8.5;9.26;10.13
140;3.18;4.55;5.75;6.74;7.45;7.91;8.29;9.06;10.02
150;2.76;4.02;5.2;6.21;7.05;7.63;8.03;8.74;9.55
160;2.35;3.51;4.67;5.71;6.68;7.36;7.78;8.45;9.18
170;1.93;2.99;4.13;5.21;6.32;7.1;7.54;8.17;8.8
180;1.52;2.48;3.6;4.71;5.95;6.83;7.29;7.88;8.43
